intent,example
file_status,لطفاً اگر امکان دارد، بگویید که پرونده‌ام در چه وضعیتی قرار دارد و آیا پیشرفتی حاصل شده است.
file_status,آیا می‌توانید به من بگویید که پرونده‌ام در چه مرحله‌ای است و چه کارهایی برای آن انجام شده است؟
file_status,لطفاً وضعیت فعلی پرونده‌ام را برایم توضیح دهید و بگویید که آیا هنوز در حال پردازش است یا خیر.
file_status,لطفاً اگر امکان دارد، مراحل فعلی پرونده‌ام را شرح دهید و بگویید که در حال حاضر چه مراحلی طی شده است.
file_status,آیا می‌توانید بگویید که پرونده‌ام به کجا رسیده است و در حال حاضر در چه وضعیتی قرار دارد؟
file_status,آیا می‌توانید به من بگویید که پرونده‌ام به کجا رسیده است و چه کاری برای آن انجام شده؟
file_status,من نیاز دارم بدانم که پرونده‌ام در چه مرحله‌ای قرار دارد و چه تغییراتی در آن انجام شده است.
file_status,لطفاً وضعیت پرونده‌ام را برایم توضیح دهید و بگویید که در حال حاضر چه مراحلی طی شده است.
file_status,آیا می‌توانید بگویید که پرونده‌ام در چه وضعیتی قرار دارد و چه کارهایی برای آن انجام شده است؟
file_status,من می‌خواهم بدانم که پرونده‌ام در چه مرحله‌ای قرار دارد و آیا هنوز در حال پردازش است یا خیر.
file_status,لطفاً اگر امکان دارد، وضعیت فعلی پرونده‌ام را برایم شرح دهید و بگویید که چه مراحلی طی شده است.
file_status,آیا می‌توانید به من بگویید که پرونده‌ام به کجا رسیده و چه تغییری در وضعیت آن رخ داده است؟
file_status,لطفاً وضعیت پرونده‌ام را برایم توضیح دهید و بگویید که در حال حاضر در چه وضعیتی قرار دارد.
file_status,من می‌خواهم بدانم که پرونده‌ام در چه وضعیتی قرار دارد و آیا تغییری در آن رخ داده است.
file_status,لطفاً اگر امکان دارد، مراحل فعلی پرونده‌ام را شرح دهید و بگویید که در حال حاضر در چه مرحله‌ای قرار دارد.
file_status,من نیاز دارم بدانم که پرونده‌ام در چه مرحله‌ای قرار دارد و چه تغییراتی در آن انجام شده است.
file_status,من می‌خواهم بدانم که پرونده‌ام در چه وضعیتی قرار دارد و آیا تغییری در آن رخ داده است.
file_status,مشاهده وضعیت ملک
interior_account_balance,لطفاً موجودی حساب من را اعلام کنید.
interior_account_balance,موجودی فعلی حساب پلاک من چقدر می‌باشد؟
interior_account_balance,موجودی حساب پلاک من در حال حاضر چقدر است؟
interior_account_balance,موجودی حساب پلاک من چقدر است؟
interior_account_balance,موجودی فعلی حساب پلاک من چقدر است؟
interior_account_balance,لطفاً میزان موجودی حساب پلاک من را اعلام کنید.
interior_account_balance,موجودی حساب پلاک من را می‌خواهم بدانم.
interior_account_balance,حساب پلاک من چه میزان پول دارد؟
interior_account_balance,می‌شود موجودی حساب پلاک من را بگویید؟
interior_account_balance,موجودی حساب پلاک من چه مقدار است؟
interior_account_balance,می‌خواهم بدانم حساب پلاک من چه میزان موجودی دارد؟
interior_account_balance,لطفاً بگویید موجودی حساب پلاک من چقدر است؟
interior_account_balance,لطفاً موجودی حساب پلاک من را اطلاع دهید.
interior_account_balance,موجودی کنونی حساب پلاک من چقدر است؟
interior_account_balance,می‌توانید میزان موجودی حساب پلاک من را اعلام کنید؟
interior_account_balance,موجودی حساب پلاک من در حال حاضر چه مقدار است؟
interior_account_balance,می‌خواستم از موجودی حساب پلاک من مطلع شوم.
interior_account_balance,می‌شود میزان موجودی حساب پلاک من را بگویید؟
interior_account_balance,لطفاً بگویید حساب پلاک من چه مقدار موجودی دارد.
interior_account_balance,میزان موجودی حساب پلاک من چقدر می‌باشد؟
interior_account_balance,لطفاً بگویید موجودی فعلی حساب پلاک من چقدر است.
interior_account_balance,می‌توانید بررسی کنید که موجودی حساب پلاک من چقدر است؟
interior_account_balance,لطفاً بررسی کنید و بگویید حساب پلاک من چقدر موجودی دارد.
interior_account_balance,لطفاً اطلاع دهید موجودی حساب پلاک من در حال حاضر چقدر است.
interior_account_balance,میزان کنونی موجودی حساب پلاک من چقدر می‌باشد؟
interior_account_balance,می‌خواستم بدانم موجودی حساب پلاک من چه مقدار است؟
interior_account_balance,موجودی حسابم چقدره؟
interior_account_balance,ببین موجودی حساب پلاک من چقدره؟
interior_account_balance,حسابم چقدر پول داره؟
interior_account_balance,می‌تونی بگی موجودی حسابم چقدره؟
interior_account_balance,موجودی فعلی حسابم چقدره؟
interior_account_balance,ببین حسابم چقدر پول داره؟
interior_account_balance,چقدر تو حسابم هست؟
interior_account_balance,ببین موجودی حساب پلاک من چقدره؟
interior_account_balance,چقدر تو حساب پلاک من پول هست؟
interior_account_balance,حسابم الان چقدر موجودی داره؟
interior_account_balance,می‌خوام بدونم موجودی حسابم چقدره؟
interior_account_balance,تو حسابم چقدر پول دارم؟
interior_account_balance,موجودی حساب پلاک من رو می‌گی؟
interior_account_balance,الان تو حسابم چقدر پول هست؟
interior_account_balance,میشه بگی موجودی حسابم چقدره؟
interior_account_balance,می‌تونی بگی تو حسابم چقدر پوله؟
interior_account_balance,پلاک من چقدر پول داره تو حسابش؟
interior_account_balance,حسابم الان چقدره؟
interior_account_balance,موجودی حسابم رو می‌دونی چقدره؟
interior_account_balance,ببین تو حساب پلاک من چقدر پول هست؟
interior_account_balance,حساب پلاک من چقدره؟
interior_account_balance,الان تو حسابم چقدر پوله؟
interior_account_balance,حسابم الان چقدر پول داره؟
interior_account_balance,پلاک من الان چقدر موجودی داره؟
interior_account_balance,میشه بگی چقدر تو حساب پلاک من هست؟
interior_account_balance,می‌دونی تو حسابم چقدر پوله؟
interior_account_balance,تو حسابم الان چقدر موجودی دارم؟
interior_account_balance,چقدر تو حساب پلاک من هست؟
interior_account_balance,میشه بگی حسابم چقدر پوله؟
interior_account_balance,پلاک من الان چقدر پول تو حسابش داره؟
interior_account_balance,موجودی حسابم چقدره؟
interior_account_balance,چقدر تو حسابم پول دارم؟
interior_account_balance,پلاک من چقدر پول داره؟
interior_account_balance,می‌گی موجودی حسابم؟
interior_account_balance,الان تو حسابم چقدره؟
interior_account_balance,حساب پلاک من چقدره؟
interior_account_balance,تو حسابم چقدر پول هست؟
interior_account_balance,موجودی فعلی حسابم؟
interior_account_balance,حسابم چقدر موجودی داره؟
interior_account_balance,پلاک من چقدر موجودی داره؟
interior_account_balance,پلاک من چقدر پوله؟
interior_account_balance,موجودی حساب پلاک من؟
interior_account_balance,پلاک من چقدر پوله؟
interior_account_balance,الان موجودی حسابم؟
interior_account_balance,پلاک من چقدر موجودی؟
interior_account_balance,پول تو حسابم چقدره؟
interior_account_balance,حساب پلاکم الان چقدره؟
interior_account_balance,موجودی حساب من چقدره؟
interior_account_balance,حساب پلاکم چقدر موجودی داره؟
interior_account_balance,موجودی حساب پلاک چقدره؟
interior_account_balance,الان حساب پلاکم چقدره؟
interior_account_balance,موجودی حساب پلاک؟
interior_account_balance,چقدر تو حساب پلاکم پول دارم؟
interior_account_balance,موجودی حسابم چقدر؟
interior_account_balance,پول تو حساب پلاکم چقدره؟
interior_account_balance,پلاک من الان چقدره؟
interior_account_balance,موجودی حساب پلاک من؟
interior_account_balance,الان تو حساب پلاکم چقدره؟
interior_account_balance,چقدر موجودی تو حسابمه؟
interior_account_balance,موجودی حساب پلاک من چقدره؟
interior_account_balance,لطفاً بگو موجودی حساب پلاک من چقدره؟
interior_account_balance,چک کن ببین موجودی حساب پلاک من چقدره؟
interior_account_balance,لطفاً به من بگو موجودی حساب پلاک من چه مقدار است؟
interior_account_balance,می‌خوام بدونم موجودی حساب پلاک من چقدره
interior_account_balance,لطفاً اطلاعات موجودی حساب پلاک منو بگو
interior_account_balance,می‌تونی چک کنی و بگی موجودی حساب پلاک من چقدره؟
interior_account_balance,لطفاً میزان موجودی حساب پلاک منو اعلام کن
interior_account_balance,می‌خوام بدونم چقدر پول در حساب پلاک من هست؟
interior_account_balance,موجودی حساب پلاک منو می‌تونی بگی؟
interior_account_balance,چک کن موجودی حساب پلاک من چقدره؟
interior_account_balance,می‌تونی بگی موجودی حساب پلاک من چه مقدار است؟
interior_account_balance,موجودی حساب پلاک منو لطفاً بگو
interior_account_balance,چقدر پول در حساب پلاک من موجوده؟
interior_account_balance,موجودی حساب پلاک من چقدره؟
interior_account_balance,لطفاً بگو چقدر پول در حساب پلاک من موجوده؟
interior_account_balance,می‌تونی میزان موجودی حساب پلاک منو بگی؟
interior_account_balance,می‌خوام بدونم چقدر پول در حساب پلاک من هست؟
interior_account_balance,لطفاً موجودی حساب پلاک منو اعلام کن
interior_account_balance,چقدر پول تو حساب پلاک من هست؟
interior_account_balance,میزان موجودی حساب پلاک منو لطفاً بگو
interior_account_balance,می‌تونی بگی چقدر پول در حساب پلاک من موجوده؟
interior_account_balance,لطفاً بررسی کن موجودی حساب پلاک من چقدره؟
interior_account_balance,لطفاً بگو موجودی حساب پلاک من چقدره؟
interior_account_balance,میزان پول موجود در حساب پلاک من چقدره؟
interior_account_balance,می‌تونی موجودی حساب پلاک منو چک کنی؟
interior_account_balance,لطفاً بگو میزان پول در حساب پلاک من چقدره؟
interior_account_balance,لطفاً بررسی کن و بگو موجودی حساب پلاک من چقدره؟
interior_account_balance,چقدر پول در حساب پلاک من هست؟
interior_account_balance,موجودی حساب پلاک من چقدره؟
interior_account_balance,مشاهده شارژ حساب پلاک
interior_account_balance,اعلام میزان موجودی در حساب میانی
interior_account_balance,مشاهده موجودی پلاک
interior_account_balance,موجودی حساب میانی من چقدره؟
interior_account_balance,توی حساب میانی من چقدر پوله؟
interior_account_balance,موجودی خساب میانی
interior_account_balance,موجودی پلاک من چقدره؟
interior_account_balance,چقدر از شارژ حساب پلاک من باقی مونده؟
calculate_plan_tariff,محاسبه هزینه طرح
calculate_plan_tariff,هزینه این طرح چقدر است؟
calculate_plan_tariff,مبلغ نهایی این طرح چقدر خواهد شد؟
calculate_plan_tariff,هزینه نهایی طرح چقدر می‌شود؟
calculate_plan_tariff,تعرفه نهایی برای این طرح چقدر است؟
calculate_plan_tariff,نرخ نهایی این طرح چقدر خواهد بود؟
calculate_plan_tariff,چگونه هزینه نهایی طرح تعیین می‌شود؟
calculate_plan_tariff,مبلغ این طرح به چه صورت محاسبه می‌شود؟
calculate_plan_tariff,نرخ طرح چگونه تعیین می‌شود؟
calculate_plan_tariff,مبلغ پرداختی برای این طرح چقدر خواهد بود؟
calculate_plan_tariff,هزینه نهایی این طرح به چه صورت محاسبه می‌شود؟
calculate_plan_tariff,چگونه نرخ نهایی این طرح محاسبه می‌شود؟
calculate_plan_tariff,تعرفه این طرح به چه صورت تعیین می‌شود؟
calculate_plan_tariff,قیمت نهایی طرح چقدر است؟
calculate_plan_tariff,مقدار هزینه این طرح چقدر است؟
calculate_plan_tariff,چگونه قیمت این طرح محاسبه می‌شود؟
calculate_plan_tariff,هزینه کل طرح چقدر خواهد شد؟
calculate_plan_tariff,مبلغ کل برای این طرح چقدر است؟
calculate_plan_tariff,میزان تعرفه این طرح چقدر است؟
calculate_plan_tariff,چگونه قیمت‌گذاری این طرح انجام می‌شود؟
calculate_plan_tariff,مبلغ این طرح چگونه محاسبه می‌گردد؟
calculate_plan_tariff,برآورد هزینه این طرح چگونه است؟
calculate_plan_tariff,تعرفه کلی این طرح چقدر می‌شود؟
calculate_plan_tariff,چگونه تعرفه نهایی این طرح تعیین می‌گردد؟
calculate_plan_tariff,مبلغ نهایی این پروژه چقدر خواهد شد؟
calculate_plan_tariff,برآورد مالی طرح به چه صورت است؟
calculate_plan_tariff,نرخ کلی این طرح چقدر است؟
calculate_plan_tariff,قیمت این طرح چطوریه؟
calculate_plan_tariff,تعرفه این طرح چقدره؟
calculate_plan_tariff,مبلغ این طرح چقدره؟
calculate_plan_tariff,پول این طرح چقدره؟
calculate_plan_tariff,چطوری حساب می‌کنید هزینه این طرحو؟
calculate_plan_tariff,چقدر می‌شه این طرح؟
calculate_plan_tariff,هزینه‌ش چقدره این طرح؟
calculate_plan_tariff,پولش چقدر می‌شه؟
calculate_plan_tariff,چطوری محاسبه می‌کنید قیمت این طرحو؟
calculate_plan_tariff,چقدر پول می‌خواد این طرح؟
calculate_plan_tariff,مبلغ نهایی این طرح چقدره؟
calculate_plan_tariff,هزینه نهایی این طرح چقدره؟
calculate_plan_tariff,چقدر باید بدیم واسه این طرح؟
calculate_plan_tariff,پول این طرح چطوری حساب می‌شه؟
calculate_plan_tariff,چقدر در نهایت باید بدیم؟
calculate_plan_tariff,تعرفه نهایی طرح چقدره؟
calculate_plan_tariff,هزینه طرح چطوری حساب می‌شه؟
calculate_plan_tariff,پول نهایی این طرح چقدره؟
calculate_plan_tariff,چطور حساب می‌کنید تعرفه این طرحو؟
calculate_plan_tariff,چقدر درمیاد کل این طرح؟
calculate_plan_tariff,مبلغ کلی طرح چقدره؟
calculate_plan_tariff,هزینه دقیق طرح چقدره؟
calculate_plan_tariff,قیمت دقیق این طرح چقدره؟
calculate_plan_tariff,پول کل این طرح چقدره؟
calculate_plan_tariff,چند می‌شه این طرح برامون؟
calculate_plan_tariff,تعرفه کل طرح چطوریه؟
calculate_plan_tariff,هزینه این طرح چقدر درمیاد؟
calculate_plan_tariff,نرخ نهایی این طرح چقدره؟
calculate_plan_tariff,تعرفه دقیق این طرح چقدره؟
calculate_plan_tariff,قیمت طرح؟
calculate_plan_tariff,مبلغ طرح؟
calculate_plan_tariff,هزینه نهایی؟
calculate_plan_tariff,پول طرح؟
calculate_plan_tariff,هزینه کل؟
calculate_plan_tariff,نرخ طرح؟
calculate_plan_tariff,هزینه کلی؟
calculate_plan_tariff,پول نهایی؟
calculate_plan_tariff,هزینه دقیق؟
calculate_plan_tariff,مبلغ کل؟
calculate_plan_tariff,پول کلی؟
calculate_plan_tariff,چند درمیاد؟
calculate_plan_tariff,هزینه چقدره؟
calculate_plan_tariff,قیمت تمام شده؟
calculate_plan_tariff,هزینه به چه صورته؟
calculate_plan_tariff,مبلغ چقدره؟
calculate_plan_tariff,پول به چه اندازه؟
calculate_plan_tariff,هزینه چطور حساب می‌شه؟
calculate_plan_tariff,مبلغ دقیق؟
calculate_plan_tariff,هزینه کلی چقدره؟
calculate_plan_tariff,چقدر باید پرداخت کنیم؟
calculate_plan_tariff,نرخ طرح چقدره؟
calculate_plan_tariff,مبلغ نهایی چقدره؟
calculate_plan_tariff,میشه بگید برای این طرح چه مبلغی باید پرداخت کنم و چطور محاسبه می‌شه؟
calculate_plan_tariff,هزینه این طرح رو به چه شکل حساب می‌کنید و مبلغ نهایی چقدره؟
calculate_plan_tariff,می‌خواستم بدونم تعرفه این طرح چقدر درمیاد و چطور محاسبه می‌شه؟
calculate_plan_tariff,لطفاً توضیح بدید که هزینه نهایی این طرح چقدر می‌شه و محاسبه‌اش چطوره؟
calculate_plan_tariff,برای محاسبه تعرفه این طرح از چه روش‌هایی استفاده می‌کنید و مبلغش چقدره؟
calculate_plan_tariff,چطور میشه فهمید هزینه کلی این طرح چقدره و از چه روش‌هایی برای محاسبه استفاده می‌شه؟
calculate_plan_tariff,برای این طرح چقدر باید پرداخت کنم و تعرفه‌اش چطور حساب می‌شه؟
calculate_plan_tariff,تعرفه این طرح به چه صورت محاسبه می‌شه و چقدر باید بپردازم؟
calculate_plan_tariff,می‌تونید توضیح بدید هزینه نهایی این طرح چقدره و چطور حساب می‌شه؟
calculate_plan_tariff,چطوری میشه فهمید هزینه این طرح چقدره و از چه روشی برای محاسبه استفاده می‌شه؟
calculate_plan_tariff,هزینه نهایی این طرح چقدره و محاسبه‌اش به چه صورته؟
calculate_plan_tariff,می‌خواستم بدونم تعرفه این طرح چطور محاسبه می‌شه و مبلغ نهایی چقدره؟
calculate_plan_tariff,برای این طرح چقدر باید پرداخت بشه و محاسبه تعرفه‌اش چطوریه؟
calculate_plan_tariff,برای اینکه بدونم هزینه نهایی این طرح چقدره، باید چه اطلاعاتی داشته باشم و چطور محاسبه می‌شه؟
calculate_plan_tariff,میشه توضیح بدید که چطور تعرفه این طرح محاسبه می‌شه و نهایتاً چقدر باید پرداخت کنم؟
calculate_plan_tariff,لطفاً بگید که هزینه این طرح به چه صورت محاسبه می‌شه و مبلغ نهایی چقدره؟
calculate_plan_tariff,تعرفه این طرح چطور تعیین می‌شه و در نهایت چقدر باید پرداخت کنم؟
calculate_plan_tariff,میشه بگید مبلغ نهایی این طرح چقدره و روش محاسبه‌اش به چه شکله؟
calculate_plan_tariff,برای اینکه بفهمم تعرفه این طرح چقدره، باید چه مراحلی طی بشه و چقدر هزینه داره؟
calculate_plan_tariff,چطور می‌تونم بدونم هزینه نهایی این طرح چقدره و تعرفه‌اش چطور حساب می‌شه؟
calculate_plan_tariff,میشه روش محاسبه تعرفه این طرح رو توضیح بدید و بگید نهایتاً چقدر باید پرداخت کنم؟
calculate_plan_tariff,لطفاً بگید که هزینه این طرح چقدره و چطور محاسبه می‌شه؟
calculate_plan_tariff,برای اینکه بدونم تعرفه این طرح چقدره، باید چه مراحلی رو طی کنم و هزینه چقدره؟
calculate_plan_tariff,تعرفه این طرح چقدره و محاسبه‌اش چطور انجام می‌شه؟
calculate_plan_tariff,لطفاً بگید هزینه نهایی این طرح چقدره و چطور محاسبه می‌شه؟
calculate_plan_tariff,محاسبه تعرفه طرح
calculate_plan_tariff,می خواستم ببینم تعرفه طرح چقدره؟
calculate_plan_tariff,تعرفه ی طرح
calculate_plan_tariff,راهنمای رزرو مجوز روزانه طرح
plaque_quota_type,اعلام نوع سهمیه پلاک را بفرمایید
plaque_quota_type,نوع سهمیه روی پلاک را اعلام کنید
plaque_quota_type,لطفاً نوع سهمیه پلاک را مشخص کنید
plaque_quota_type,نوع سهمیه پلاک را بیان کنید
plaque_quota_type,لطفاً نوع سهمیه پلاک را بگویید
plaque_quota_type,سهمیه پلاک را اعلام نمایید
plaque_quota_type,نوع سهمیه روی پلاک چیست؟
plaque_quota_type,لطفاً سهمیه پلاک را توضیح دهید
plaque_quota_type,نوع سهمیه مربوط به پلاک را بفرمایید
plaque_quota_type,سهمیه پلاک را مشخص کنید
plaque_quota_type,نوع سهمیه درج شده روی پلاک را اعلام کنید
plaque_quota_type,لطفاً نوع سهمیه پلاک را مشخص کنید
plaque_quota_type,نوع سهمیه ثبت شده روی پلاک را بفرمایید
plaque_quota_type,نوع سهمیه مربوط به پلاک را بگویید
plaque_quota_type,سهمیه پلاک را بفرمایید
plaque_quota_type,لطفاً نوع سهمیه روی پلاک را بیان کنید
plaque_quota_type,نوع سهمیه روی پلاک را توضیح دهید
plaque_quota_type,نوع سهمیه موجود بر روی پلاک را بگویید
plaque_quota_type,لطفاً نوع سهمیه پلاک را توضیح دهید
plaque_quota_type,نوع سهمیه ثبت شده بر روی پلاک را اعلام کنید
plaque_quota_type,سهمیه مشخص شده برای پلاک را بفرمایید
plaque_quota_type,سهمیه مشخص شده روی پلاک را اعلام کنید
plaque_quota_type,لطفاً نوع سهمیه را برای پلاک مشخص نمایید
plaque_quota_type,نوع سهمیه تخصیص داده شده به پلاک را اعلام کنید
plaque_quota_type,لطفاً نوع سهمیه مربوط به پلاک را بفرمایید
plaque_quota_type,نوع سهمیه بر روی پلاک را ذکر کنید
plaque_quota_type,نوع سهمیه‌ای که روی پلاک نوشته شده است را بگویید
plaque_quota_type,سهمیه نوشته شده روی پلاک چیست؟
plaque_quota_type,نوع سهمیه پلاک چگونه است؟
plaque_quota_type,لطفاً نوع سهمیه را که بر روی پلاک است توضیح دهید
plaque_quota_type,نوع سهمیه بر روی پلاک به چه صورت است؟
plaque_quota_type,سهمیه روی پلاک چیه؟
plaque_quota_type,می‌شه نوع سهمیه پلاک رو بگی؟
plaque_quota_type,سهمیه‌ای که رو پلاکه چیه؟
plaque_quota_type,نوع سهمیه پلاک رو اعلام کن
plaque_quota_type,سهمیه پلاک رو بگو ببینم
plaque_quota_type,لطفاً سهمیه پلاک رو مشخص کن
plaque_quota_type,سهمیه پلاک رو می‌گی؟
plaque_quota_type,نوع سهمیه نوشته شده روی پلاک چیه؟
plaque_quota_type,ببین سهمیه پلاک چیه؟
plaque_quota_type,نوع سهمیه پلاک چی نوشته شده؟
plaque_quota_type,لطفاً بگو سهمیه پلاک چیه
plaque_quota_type,نوع سهمیه پلاک چطور نوشته شده؟
plaque_quota_type,سهمیه پلاک چی نوشته؟
plaque_quota_type,پلاک چه سهمیه‌ای داره؟
plaque_quota_type,سهمیه‌ای که رو پلاک هست چی نوشته؟
plaque_quota_type,می‌شه بگی سهمیه پلاک چیه؟
plaque_quota_type,پلاک چه نوع سهمیه‌ای داره؟
plaque_quota_type,لطفاً بگو سهمیه پلاک چی هست
plaque_quota_type,سهمیه‌ای که روی پلاکه رو بگو
plaque_quota_type,سهمیه پلاک چیه؟
plaque_quota_type,نوع سهمیه پلاک رو لطفاً بگو
plaque_quota_type,پلاک چه سهمیه‌ای داره؟
plaque_quota_type,می‌خوام بدونم سهمیه پلاک چیه
plaque_quota_type,سهمیه رو پلاک چی نوشته؟
plaque_quota_type,نوع سهمیه پلاک چیه؟
plaque_quota_type,سهمیه‌ای که روی پلاکه چی نوشته شده؟
plaque_quota_type,نوع سهمیه پلاک رو لطفاً مشخص کن
plaque_quota_type,سهمیه روی پلاک چی هست؟
plaque_quota_type,نوع سهمیه را بگو
plaque_quota_type,نوع سهمیه پلاک چیه؟
plaque_quota_type,سهمیه پلاک؟
plaque_quota_type,نوع سهمیه پلاک
plaque_quota_type,اطلاعات سهمیه پلاک
plaque_quota_type,نوع سهمیه پلاک رو اعلام کن
plaque_quota_type,پلاک با چه سهمیه‌ای ثبت شده؟
plaque_quota_type,نوع سهمیه روی پلاک؟
plaque_quota_type,پلاک چه نوع سهمیه‌ای داره؟
plaque_quota_type,نوع سهمیه پلاک رو بگو
plaque_quota_type,سهمیه روی پلاک چیه؟
plaque_quota_type,نوع سهمیه خودرو
plaque_quota_type,پلاک و سهمیه آن
plaque_quota_type,نوع سهمیه روی پلاک چیست؟
plaque_quota_type,سهمیه این پلاک چیه؟
plaque_quota_type,اطلاع از سهمیه پلاک
plaque_quota_type,سهمیه پلاک رو بفرمایید
plaque_quota_type,پلاک با کدام سهمیه؟
plaque_quota_type,نوع سهمیه ثبت شده روی پلاک
plaque_quota_type,سهمیه‌ای که روی پلاک هست
plaque_quota_type,پلاک ثبت شده با چه نوع سهمیه‌ای؟
plaque_quota_type,نوع سهمیه تخصیص یافته به پلاک
plaque_quota_type,پلاک خودرو چه سهمیه‌ای داره؟
plaque_quota_type,سهمیه موجود روی پلاک چیست؟
plaque_quota_type,نوع سهمیه خودرو چیست؟
plaque_quota_type,چه نوع سهمیه‌ای برای این پلاک ثبت شده است؟
plaque_quota_type,می‌توانید نوع سهمیه‌ای که بر روی این پلاک اعمال شده است را اعلام کنید؟
plaque_quota_type,ممنون می‌شوم اگر نوع سهمیه‌ی اعمال شده بر روی این پلاک را بفرمایید.
plaque_quota_type,آیا می‌توانید اطلاعاتی درباره نوع سهمیه‌ای که برای این پلاک در نظر گرفته شده است ارائه دهید؟
plaque_quota_type,لطفاً مشخص کنید که این پلاک تحت چه نوع سهمیه‌ای قرار دارد.
plaque_quota_type,آیا می‌توانید توضیح دهید که این پلاک چه نوع سهمیه‌ای دارد؟
plaque_quota_type,لطفاً بفرمایید که سهمیه این پلاک به چه صورت است.
plaque_quota_type,این پلاک چه نوع سهمیه‌ای دارد؟ لطفاً توضیح دهید.
plaque_quota_type,می‌خواهم اطلاعاتی درباره نوع سهمیه پلاک دریافت کنم.
plaque_quota_type,لطفاً بگویید که سهمیه این پلاک از چه نوعی است.
plaque_quota_type,آیا می‌توانید نوع سهمیه پلاک را مشخص کنید؟
plaque_quota_type,این پلاک تحت کدام نوع سهمیه قرار دارد؟
plaque_quota_type,لطفاً نوع سهمیه‌ای که برای این پلاک در نظر گرفته شده است را بفرمایید.
plaque_quota_type,می‌خواهم بدانم که سهمیه اختصاص داده شده به این پلاک چیست.
plaque_quota_type,لطفاً نوع سهمیه‌ی این پلاک را اعلام کنید.
plaque_quota_type,می‌توانید بفرمایید که سهمیه این پلاک چه نوعی است؟
plaque_quota_type,لطفاً توضیح دهید که برای این پلاک چه نوع سهمیه‌ای در نظر گرفته شده است.
plaque_quota_type,می‌خواهم بدانم که این پلاک تحت چه نوع سهمیه‌ای قرار دارد.
plaque_quota_type,آیا می‌توانید اعلام کنید که سهمیه این پلاک از چه نوعی است؟
plaque_quota_type,این پلاک چه نوع سهمیه‌ای دارد و چگونه می‌توان آن را شناسایی کرد؟
plaque_quota_type,آیا می‌توانید نوع سهمیه‌ای که بر روی این پلاک اعمال شده است را توضیح دهید؟
plaque_quota_type,لطفاً بفرمایید که سهمیه این پلاک به چه صورت تعیین شده است.
plaque_quota_type,آیا می‌توانید اطلاعاتی درباره نوع سهمیه این پلاک ارائه دهید؟
plaque_quota_type,لطفاً بگویید که این پلاک تحت کدام نوع سهمیه قرار دارد.
plaque_quota_type,آیا می‌توانید نوع سهمیه اعمال شده بر روی این پلاک را مشخص کنید؟
plaque_quota_type,لطفاً اطلاعات بیشتری درباره سهمیه این پلاک بفرمایید.
plaque_quota_type,این پلاک با چه نوع سهمیه‌ای ثبت شده است؟
plaque_quota_type,لطفاً بفرمایید که سهمیه اختصاص داده شده به این پلاک چیست.
plaque_quota_type,آیا می‌توانید بگویید که سهمیه این پلاک چه نوعی است؟
plaque_quota_type,لطفاً نوع سهمیه‌ای که به این پلاک داده شده است را بگویید.
plaque_quota_type,می‌خواهم بدانم که سهمیه این پلاک از چه نوعی است.
plaque_quota_type,اعلام نوع سهمیه بر روی پلاک
plaque_quota_type,نوع سهمیه ی پلاک من چیه؟
plaque_quota_type,سهمیه ی پلاک من چیه؟
plaque_quota_type,پلاک من چه نوع سهمیه ای داره؟
plaque_quota_type,اعلام سهمیه های ترافیکی خودرو
plaque_quota_type,چه سهمیه ای برای خودرو من تعیین شده است
greeting_goodbye,خداحافظی می‌کنم
greeting_goodbye,با اجازه شما خداحافظی می‌کنم
greeting_goodbye,به امید دیدار، خداحافظ
greeting_goodbye,موقتا خداحافظی می‌کنم
greeting_goodbye,فعلا خداحافظ
greeting_goodbye,تا دیدار بعدی، خداحافظ
greeting_goodbye,تا وقت دیگر، خداحافظ
greeting_goodbye,فعلاً بدرود
greeting_goodbye,تا بعد، خداحافظ
greeting_goodbye,بدرود تا دیدار بعدی
greeting_goodbye,به امید دیدار دوباره، خداحافظ
greeting_goodbye,برای اکنون خداحافظی می‌کنم
greeting_goodbye,مجبورم خداحافظی کنم
greeting_goodbye,به ناچار خداحافظی می‌کنم
greeting_goodbye,دیدار به وقت دیگر، خداحافظ
greeting_goodbye,با عرض خداحافظی
greeting_goodbye,تا بعد، خدا نگهدار
greeting_goodbye,با احترام، خداحافظ
greeting_goodbye,تا زمانی دیگر، بدرود
greeting_goodbye,فعلاً خدا نگهدار
greeting_goodbye,باید خداحافظی کنم
greeting_goodbye,ناچار به خداحافظی هستم
greeting_goodbye,خدا یار شما، خداحافظ
greeting_goodbye,باید از شما خداحافظی کنم
greeting_goodbye,فعلاً تا دیدار بعدی، خداحافظ
greeting_goodbye,خدافظ
greeting_goodbye,فعلاً بای
greeting_goodbye,موفق باشی، بای
greeting_goodbye,بدرود
greeting_goodbye,به امید دیدار، بای
greeting_goodbye,تا بعد، خدافظ
greeting_goodbye,وقت رفتنه، خدافظ
greeting_goodbye,فعلاً خدافظی
greeting_goodbye,بای بای
greeting_goodbye,دیدار به وقت دیگه، خدافظ
greeting_goodbye,تا بعدی، بای
greeting_goodbye,فعلاً بدرود
greeting_goodbye,تا فرصت بعد، بای
greeting_goodbye,باید برم، خدافظ
greeting_goodbye,موفق باشی، خدافظ
greeting_goodbye,تا دیدار بعدی، بای بای
greeting_goodbye,به امید دیدار دوباره، بای
greeting_goodbye,فعلاً خداحافظی می‌کنم
greeting_goodbye,تا وقت دیگه، بای
